"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1769959470615130284","Tue Mar 19 19:02:05 +0000 2024","1","@dekade_08 Buzzer Rp lagi galau ni yee ngetwit secara massive... khawatir gak ada transferan dari @prabowo @jokowi","1770163854770602292","","dekade_08","in","Uganda","0","0","0","https://twitter.com/aed3c5eb61ba4ea/status/1770163854770602292","2951462028","aed3c5eb61ba4ea"
"1769633951042388295","Mon Mar 18 23:14:38 +0000 2024","0","@Fahrihamzah Aku khawatir gak lama kemudian Prabowo gak mampu lagi melanjutkan fungsi &amp; kewenangannya sbg Presiden dan akhirnya km akan di pecundangi oleh si Samsul","1769865023915229486","","Fahrihamzah","in","","0","0","0","https://twitter.com/SaidmahuS/status/1769865023915229486","1046413432470233088","SaidmahuS"
"1769755645589471369","Mon Mar 18 16:00:01 +0000 2024","0","TKN Prabowo-Gribran Tak Khawatir Kubu Ganjar Hadirkan Kapolda Sebagai Saksi di MK #TKN #Prabowo #MK #Ganjar #Kapolda https://t.co/YDsemklBZy","1769755645589471369","https://pbs.twimg.com/ext_tw_video_thumb/1769739746228781056/pu/img/QlRi99EWec61OmNK.jpg","","in","","0","0","0","https://twitter.com/sinpotv/status/1769755645589471369","1012174601055449088","sinpotv"
"1769732149588959730","Mon Mar 18 14:43:27 +0000 2024","1","@Rasto66010876 Aku khawatir satu hal Bung...... Gula habis tinggal empedu.... Empedu buat @prabowo dan @Gerindra Gula untuk Gibran dan Bapak e..... @habiburokhman @andre_rosiade @fadlizon","1769736378731164141","","Rasto66010876","in","Indonesia","0","1","0","https://twitter.com/Pe_Enestee/status/1769736378731164141","1605933061455036416","Pe_Enestee"
"1769652918414938614","Mon Mar 18 13:16:29 +0000 2024","0","@GerardVanny @icikiwir_08 @ReflyHZ @zainalamochtar @DivHumas_Polri @Puspen_TNI @KSPgoid Buzzer 02 khawatir kl angket jalan uang bulanan dan THR nya distop sama @prabowo dan @jokowi bro","1769714492391526822","","GerardVanny","in","Uganda","0","0","0","https://twitter.com/aed3c5eb61ba4ea/status/1769714492391526822","2951462028","aed3c5eb61ba4ea"
"1769250815167144327","Sun Mar 17 22:13:34 +0000 2024","3","@samurai_tenro @Chavesz08 Setuju teringat tahun 2019 waktu Prabowo kalah gak gini banget mereka nyerang personal Prabowo. Bisa jadi kan issue² yang beredar itu benar kecurangan dan lainnya makanya mereka sedikit khawatir dan membuat Black campaign lagi terhadap Anies walau pilpres sudah selesai.","1769487268304298213","","samurai_tenro","in","Riau, Indonesia","0","0","0","https://twitter.com/sari_arwita/status/1769487268304298213","1508602852276846592","sari_arwita"
"1768571841747021853","Sat Mar 16 03:07:21 +0000 2024","0","@detikcom Saya khawatir efek Prabowo berpengaruh diujung pemerintahan Jokowi. Artinya real estate yang dikelola Prabowo gagal secara entanglemen memberi sinyal negatif kepemerintahan Jokowi.","1768836424919630173","","detikcom","in","","0","0","0","https://twitter.com/ganjangberita/status/1768836424919630173","911457857131839488","ganjangberita"
"1768550398028304689","Fri Mar 15 08:10:47 +0000 2024","138","Jangan terlalu khawatir masyarakat kita sudah benar-benar cerdas dan mengerti. Segala macam isu yang berkembang itu sampai sekarang tidak terbukti. #prabowo #gibran #prabowogibran #ramadhan2024 #indonesiamaju #bersamaindonesiamaju #dekade08 #mendingprabowo #majubersamaprabowo https://t.co/4OCaTxNIOm","1768550398028304689","https://pbs.twimg.com/ext_tw_video_thumb/1768549818748764160/pu/img/1uO3om2wSUIAHCQw.jpg","","in","DKI Jakarta, Indonesia","0","13","6","https://twitter.com/dekade_08/status/1768550398028304689","1576913175227748352","dekade_08"
"1768196830817636756","Thu Mar 14 17:22:44 +0000 2024","0","@gvfftj @ganjarpranowo @jokowi @prabowo @gibran_tweet @airlangga_hrt @ZUL_Hasan @Yusrilihza_Mhd @AgusYudhoyono @budimuni98 @arwidodo @Mdy_Asmara1701 @sutanmangara Jangan ragu jangan khawatir 02 pasti berjaya","1768326911078629706","","gvfftj","in","bogota","0","0","0","https://twitter.com/gonzome66/status/1768326911078629706","2826605067","gonzome66"
"1767811217517695253","Wed Mar 13 07:13:33 +0000 2024","10","Prabowo Sebut Demokrasi Mahal dan Melelahkan YLBHI Khawatir Indonesia kembali ke Era Militeristik https://t.co/1eXOTQpLSt","1767811217517695253","","","in","","1","0","11","https://twitter.com/kba_news/status/1767811217517695253","1443801854756880385","kba_news"
"1767811093445972127","Wed Mar 13 07:13:03 +0000 2024","3","begitulah mereka akan menjadi parasit bagi siapapun yang didukung olehnya. Prabowo 2014 Prabowo 2019 dan Anies 2024 sudah jadi korbannya. Gua khawatir mereka akan melakukan hal yang sama ke Anies di 2029 seperti yang dilakukan ke prabowo kalau Anies bergerak dan lepas dari PKS","1767811093445972127","","","in","Sholis ","0","1","0","https://twitter.com/zallfh/status/1767811093445972127","582882783","zallfh"
"1767786528284287300","Wed Mar 13 05:35:26 +0000 2024","0","Prabowo-Gibran memimpin tanpa perlu khawatir dengan persaingan. #02Unggul1Ptran IniHasil DipilihRakyat https://t.co/mtvqbdb7WI","1767786528284287300","https://pbs.twimg.com/media/GIhwejPaMAAoRtl.jpg","","in","Majene","0","0","0","https://twitter.com/OskarqnPudjiast/status/1767786528284287300","1748472896878772224","OskarqnPudjiast"
"1767448720130633870","Wed Mar 13 00:11:37 +0000 2024","3","@Gerindra @prabowo Paslon 1 menang C1 sdh dihitung semua dari 800rb TPS. Khawatir nanti ada org2;yg kena stroke","1767705033523749326","","Gerindra","in"," in the earth colony","0","1","1","https://twitter.com/timellcome/status/1767705033523749326","1484876527791915015","timellcome"
"1767367351161471139","Tue Mar 12 03:53:51 +0000 2024","5","@iwanfals Siapa Bilang Gak Khawatir..waktu itu kan nyuruh Pak Surya Paloh ke Istana.itu kan pasti menawarkan gabung ke Prabowo..biar tidak terjadi hak angket.","1767398572549664876","","iwanfals","in","Sleman","0","0","2","https://twitter.com/AkbarWasito/status/1767398572549664876","726984904680964096","AkbarWasito"
"1767148833350500710","Tue Mar 12 03:41:12 +0000 2024","2","@blekededs @jalanparis @ainunnajib @prabowo @gibran_tweet Prabowo belum dilantik aja udah ada rapat kabinet yang bahas program maksi gratis dipimpin sama jkw lagi. Tenang aja bang kami ikut bayar pajak buat lu lu pada kok. Gak perlu khawatir kami tau kalo 58% orang itu penerima bansos. Kami bantuin kalem.","1767395391442399313","","blekededs","in","","0","1","0","https://twitter.com/Jenayass/status/1767395391442399313","1467893600180572163","Jenayass"
"1767031004689236362","Mon Mar 11 21:57:38 +0000 2024","0","@S4N_W1B1 Jangan khawatir perolehan suara Prabowo hanya 16%. Tak bakalan menang dia. .","1767308929321836569","","S4N_W1B1","in","Riau","0","0","0","https://twitter.com/b1e9ca97b7144d3/status/1767308929321836569","3479739252","b1e9ca97b7144d3"
"1767151608893407656","Mon Mar 11 13:03:38 +0000 2024","0","@cahyaem Jangan khawatir bro ikuti jejak @prabowo","1767174543876264001","","cahyaem","in","","0","1","0","https://twitter.com/vennesseus/status/1767174543876264001","1581744835329159168","vennesseus"
"1767161687910896002","Mon Mar 11 12:12:33 +0000 2024","2","Turut berduka atas musibah banjir bandang di Padang &amp; Aceh. Jangan khawatir walaupun Pak Jokowi &amp; Pak Prabowo suaranya nyungsep di 2 provinsi tsb ke 2 negarawan itu akan dg ikhlas menolong membantu kalian tanpa rasa dendam Jadikan musibah ini sbg Introspeksi diri (dari kami 02) https://t.co/XdDPznFAfj","1767161687910896002","https://pbs.twimg.com/media/GIY4I4taYAAtBWj.jpg","","in","simpang surga deket depok","0","0","0","https://twitter.com/PenjualSate69/status/1767161687910896002","1603635879603367936","PenjualSate69"
"1767135403109412956","Mon Mar 11 10:28:06 +0000 2024","1","Pemenang Pilpres Prabowo berniat merangkul parpol lawan untuk membentuk koalisi besar di pemerintahannya. Apakah karena khawatir program unggulannya seperti makan siang gratis dijegal? #kumparanNEWS https://t.co/D6RwKrpyvc","1767135403109412956","","","in","","1","0","1","https://twitter.com/kumparan/status/1767135403109412956","759692754985242625","kumparan"
"1766659017231995335","Sun Mar 10 16:16:30 +0000 2024","3","@Rocky_Antonie @abrahamsamad @prabowo JK termasuk oportunis berkuasa agar bisnisnya tetap berjaya. Setelah menikmati manisnya kekuasaan skrg khawatir tdk akan menikmatinya lg","1766860692374855778","","Rocky_Antonie","in","","0","0","0","https://twitter.com/ArianDenop40528/status/1766860692374855778","1700331880149811200","ArianDenop40528"
"1766320429931827608","Sun Mar 10 06:21:58 +0000 2024","0","@MasboyK @KingTuk17an Lah ... ini hanya sakwasangka emang prabowo itu anak kmrn sore dia itu lulusan fort brag salah satu lulusan terbaik fort benning GSG-9 Jerman... gak ada yg bisa mengendalikan dia mkn nyabbanyak negara asing khawatir jg pengusaha2 hitam ind","1766711074316042246","","MasboyK","in","","0","0","0","https://twitter.com/bhatara_narada/status/1766711074316042246","1110627356","bhatara_narada"
"1766459434463797276","Sat Mar 09 21:33:54 +0000 2024","0","@Hilmi28 Ganjar jelas nolak israel kalian gakk pilih Hanya karna Gara2 menolak timnas sepakbola israel kalian tdk memanusiakan manusia. Sekarang kalian malah khawatir dgn Pak Prabowo yg mana Agamanya pun masih dipertanyakan. Miris liat kalian yg milih PS tp sok bela Palestina.","1766578181165732233","","Hilmi28","in","","0","1","0","https://twitter.com/AsSembiyan/status/1766578181165732233","1585440357512548354","AsSembiyan"
"1766495860651942124","Sat Mar 09 16:06:47 +0000 2024","1","kalian yang suka menghina dan merendahkan pak prabowo terus sibuk bilang kita bakal ditahan nih wah bakal jadi tahanan nomor berapa ya kita kalian gausah khawatir! fyi aja pak prabowo kayanya ga ada waktu buat mikirin kekonyolan kalian.","1766495860651942124","","","in","fan account included ","1","1","0","https://twitter.com/choucomint/status/1766495860651942124","937016720568356869","choucomint"
"1766468230837932211","Sat Mar 09 14:17:00 +0000 2024","15","Fitch Ratings Moody's Khawatir Program Makan Siang Gratis Prabowo Bisa Jebak RI dalam Utang Tinggi! Tenang pak ada paman! https://t.co/rkCtmAiw2l","1766468230837932211","","","in","Bogor Barat, Indonesia","1","1","6","https://twitter.com/kevynsaverio/status/1766468230837932211","1308817261684092929","kevynsaverio"
"1762716378841354300","Sat Mar 09 03:51:32 +0000 2024","0","@PUTRY_NUSANTARA @KangManto123 Jangan khawatir Nanti rakyat akan diberikan bintang yang lebih tinggi daripada Prabowo ....... https://t.co/yq7mIZqvNW","1766310827483934783","https://pbs.twimg.com/ext_tw_video_thumb/1766310789177307136/pu/img/4cQCzke3nk1eqdgW.jpg","PUTRY_NUSANTARA","in","","0","0","0","https://twitter.com/PancaNada/status/1766310827483934783","1739978848400535552","PancaNada"
"1765990699781206225","Fri Mar 08 17:14:05 +0000 2024","1","@TeddGus Dari minggu kemarin kata penggunaan kekuasaan mulu yg diangkat justeru elu dan sekutu2 elu semua yg demikian. Malah diputar balikan. Santai gausah khawatir kita buktikan di sidang hak angket Prabowo jd dilantik atau ada yg lain jd diangkat atau finalnya pemilu diulang.","1766150409666937323","","TeddGus","in","Jakarta Capital Region","0","1","0","https://twitter.com/Anassmile_Real/status/1766150409666937323","1605829137243201536","Anassmile_Real"
"1766044215031844926","Fri Mar 08 10:12:07 +0000 2024","46","Media Asing Sebut Investor Khawatir dengan Calon Menkeu Prabowo https://t.co/Pm4TmGm9t4","1766044215031844926","","","in","","0","9","5","https://twitter.com/CNNIndonesia/status/1766044215031844926","17128975","CNNIndonesia"
"1765832031542403312","Fri Mar 08 09:31:23 +0000 2024","0","@KRathalos97 Orba Regime is alive &amp; well. Cuma kadarnya aja beda2 mungkin pas jaman Jokowi ga da tuh yg diculik2 dibunuh besoknya hilang hanya karena Presiden ga suka perkataan itu org. Tapi Prabowo Presiden ya bakal balik lg. Mknya aku khawatir genosida 65 Mei 98 &amp; lain2 akan terjadi lg","1766033967659020699","","KRathalos97","in","","0","0","0","https://twitter.com/RooneySianny/status/1766033967659020699","1189845201466122241","RooneySianny"
"1766009204517806196","Fri Mar 08 08:46:03 +0000 2024","2","@yaniarsim @prabowo Alamaaak khawatir pulak awak sm beliau ini klu nanti ujung²nya Anies yg menang... Semoga gk knp² aja lah...","1766022555553714602","","yaniarsim","in","","0","0","0","https://twitter.com/BobTeuku96933/status/1766022555553714602","1705860246647050240","BobTeuku96933"
"1764554545265508684","Thu Mar 07 19:23:54 +0000 2024","0","@AbiAbisatyaaaa @jejepujianto_ https://t.co/dMhcq0ruUE ini sebab nya @jokowi stress diterror @prabowo &amp; @fadlizon + pasukan sepanjang 2014 2019 khawatir berlanjut mending dirangkul sekalian &amp; diberi jabatan+bekal yg cukup buat 2024. Jejak digital memang kejam tp orang pd bisa ya ngeles nya Stevan Seagal euy","1765820689624322288","","AbiAbisatyaaaa","in","jkt","0","0","0","https://twitter.com/hedyviar/status/1765820689624322288","1244538576","hedyviar"
"1765336852092055591","Wed Mar 06 21:48:20 +0000 2024","1","@Bull_winner gw baca itu kepikirannya avatar sih. baca kisah iroh aja tersindir heran gw. lu gausah nonton avatar. gw khawatir nanti lo ngamuk2 blg avatar itu film propaganda yg mengarah ke prabowo. ntar gw ga bsa menikmati avatar lg kl dah kyk gitu. jangan ya gw blg JANGAN.","1765494649773601220","","Bull_winner","in","","0","4","0","https://twitter.com/fafifunanana/status/1765494649773601220","1621329608229670912","fafifunanana"
"1765375060741911013","Wed Mar 06 13:53:08 +0000 2024","26","Fitch Ratings Moody's Khawatir Program Makan Siang Gratis Prabowo Bisa Jebak RI dalam Utang Tinggi! Salah satu Lembaga asing yang memberikan peringatan terhadap program makan siang gratis tersebut adalah Fitch Ratings. https://t.co/E1koHzoM96","1765375060741911013","","","in","Bandung, Jawa Barat","0","6","6","https://twitter.com/devy_casanofa/status/1765375060741911013","1576577082909691904","devy_casanofa"
"1765277053719368039","Wed Mar 06 07:23:41 +0000 2024","0","@pandji Berusaha optimis tapi pasti hatinya nangis. Judul sama konten tidak seimbang krg bnyk pembahasan mengenai bgmn Indonesia jika Prabowo Presiden. Tidak hanya represif saya khawatir tragedi 1965 Mei'98 &amp; bnyk pelanggaran2 HAM lainnya meningkat. https://t.co/ma73JbUkyx","1765277053719368039","","pandji","in","","0","0","0","https://twitter.com/RooneySianny/status/1765277053719368039","1189845201466122241","RooneySianny"
"1765227555135909977","Wed Mar 06 04:07:00 +0000 2024","1","Saya jadi khawatir Pak Prabowo bakal terkena praktek laporan 'Asal Bapak Senang' ","1765227555135909977","","","in","","0","1","0","https://twitter.com/sho_kidd/status/1765227555135909977","1977420948","sho_kidd"
"1764839019102494964","Tue Mar 05 06:25:05 +0000 2024","0","@ahmedasarlan hebih sendiri yee prabowo menang masih khawatir","1764899920056811727","","ahmedasarlan","in","","0","0","0","https://twitter.com/halo_lentera/status/1764899920056811727","1248656295311204352","halo_lentera"
"1764889493981774170","Tue Mar 05 05:51:46 +0000 2024","2","@HumorJonTampan dua2nya betul ga kontradiktif AHY betul memang bahas Makan Gratis program Prabowo Gibran. Jokowi jg betul membahas yg sama bukan makan gratisnya Prabowo-Gibran. Prabowo Gibran sih ga usah khawatir untuk makan siang mereka apalagi sampe dibahas di kabinet. Mereka kan tajir","1764891535857136051","","HumorJonTampan","in","Bogor-Jakarta","0","0","0","https://twitter.com/nurkholiswyd/status/1764891535857136051","85046491","nurkholiswyd"
"1764855853969276952","Tue Mar 05 04:00:26 +0000 2024","39","Pemerintahan Prabowo-Gibran di 2024 - 2029 tentu memiliki disrupsi² dan gagasan² baru dlm mensiasati Anggaran Makan Siang Gratis jadi kita tidak perlu khawatir lah utk urusan itu. Kalo memang hutang pun rasio hutang kita termasuk salah satu yg terbaik di dunia. Hutang kita tdk https://t.co/B5EzO1drmj","1764863516954288251","https://pbs.twimg.com/ext_tw_video_thumb/1764863484146413568/pu/img/Q9bWlE3dV2i0melZ.jpg","darkaesthetic99","in","on through the night","0","1","6","https://twitter.com/darkaesthetic99/status/1764863516954288251","860337344372555777","darkaesthetic99"
"1764609116767707531","Tue Mar 05 01:28:15 +0000 2024","0","@brin_watch @jokowi @gibran_tweet @prabowo @aik_arif @pakmul63 @msaid_didu @sociotalker @CNNIndonesia Sadar kan sekarang apa yg telah berlaku pada kalian... gak perlu khawatir masih banyak yg bergerak dalam dunia keilmuan dan tak tersentuh system politik... karena mencerdaskan kehidupan bangsa itu adalah salah satu tujuan utama berdirinya bangsa ini... Jgn mau di belokkan...","1764825219175453035","","brin_watch","in","Raga","0","0","0","https://twitter.com/dickhyku/status/1764825219175453035","783401503675473921","dickhyku"
"1764674781948084529","Mon Mar 04 15:30:28 +0000 2024","0","Sebelum 14/2 kemarin sy khawatir buat PT Samsul Gemoy Kuliner Indonesia yg jual Pempek Gemoy Tekwan Etik Bakso Soriye Somai Omon-Omon skrg agak lega setelah pilpres selesai &amp; ngak dianggap simpatisan sy cuma memanfaatkan momentum. Untuk pembelian: 0811937743 @prabowo https://t.co/A8ZHwWR2bH","1764674781948084529","https://pbs.twimg.com/ext_tw_video_thumb/1764674722355453952/pu/img/G6Ht2dr-R0vNLXiK.jpg","","in","","0","0","0","https://twitter.com/antoniludfi/status/1764674781948084529","2218718736","antoniludfi"
"1764501903751451117","Mon Mar 04 04:03:31 +0000 2024","2163","Viral! Berani Bersuara Berdasarkan Fakta dan Data Tentang Kasus Prabowo Netizen Khawatir Narasumber Ini Takutnya Dihilangkan.","1764501903751451117","","","in","Bima Sakti, Bumi, Indonesia","3","19","961","https://twitter.com/abu_waras/status/1764501903751451117","2905814730","abu_waras"
"1763957303827636608","Sun Mar 03 04:24:22 +0000 2024","0","@Mdy_Asmara1701 desak anies bisa ga ya di depan gedung dpr dan di depan istana merdeka aja? biar keluhan lgs tersalurkan. soalnya prabowo selama kampanye aja gapernah ada debat begini khawatir nanti udah menjabat malah main kuda main kucing joget2 gemoy doang","1764144762955890807","","Mdy_Asmara1701","in","","0","0","0","https://twitter.com/gatauahdark/status/1764144762955890807","1070505077708775425","gatauahdark"
"1763978776814469516","Sun Mar 03 02:55:10 +0000 2024","0","@genx36545403 @prabowo @gibran_tweet Mereka dari dulu jg ga dapat makan siang &amp; susu gratis. Kenapa harus khawatir sekarang?","1764122314994831843","","genx36545403","in","Perth","0","0","0","https://twitter.com/republic_id/status/1764122314994831843","2222056274","republic_id"
"1763978776814469516","Sun Mar 03 01:13:20 +0000 2024","0","@genx36545403 @prabowo @gibran_tweet Wih ngeri ya udh bikin juga surat pernyataan bahwa kami juga ngga mau bayar pajak sebab pajak nya d pake dan d salahgunakan yg program nya aga ada manfaatnya bagi anak bangsa . khawatir rawan d korupsi nya","1764096686966866269","","genx36545403","in","","0","0","0","https://twitter.com/DavitSeptiana1/status/1764096686966866269","1580120481864503297","DavitSeptiana1"
"1763572566160228645","Sat Mar 02 11:18:48 +0000 2024","1","@yaniarsim @KPU_ID @prabowo Saya koq rada2 khawatir gitu..jangan2 ada konslet..","1763886669936365796","","yaniarsim","in","","0","0","0","https://twitter.com/ArjayaDirja/status/1763886669936365796","1685924999482523648","ArjayaDirja"
"1763786458731880543","Sat Mar 02 06:54:29 +0000 2024","1","@tempodotco 3 periode terdiri dari : 1 periode (2 thn Prabowo 3 tahun Gibran) 1 periode (Gibran Bobby) 1 periode (Bobby Kaesang). Kalau kurang tambah lagi 1 periode (Kaesang Jan Ethes). Atur aja paakkkk..jutaan rakyat memuja &amp; menyembahmu.....jangan khawatir.","1763820151974359164","","tempodotco","in","Indonesia🇮🇩","0","0","0","https://twitter.com/EmhadyZ/status/1763820151974359164","548162595","EmhadyZ"
"1763754851438113003","Sat Mar 02 06:13:30 +0000 2024","0","@detikcom 3 periode terdiri dari : 1 periode (2 thn Prabowo 3 tahun Gibran) 1 periode (Gibran Bobby) 1 periode (Bobby Kaesang). Kalau kurang tambah lagi 1 periode (Kaesang Jan Ethes). Atur aja paakkkk..jutaan rakyat memuja &amp; menyembahmu.....jangan khawatir.","1763809841045520830","","detikcom","in","Indonesia🇮🇩","0","0","0","https://twitter.com/EmhadyZ/status/1763809841045520830","548162595","EmhadyZ"
"1763572566160228645","Sat Mar 02 05:49:46 +0000 2024","0","@yaniarsim @KPU_ID @prabowo Bapak ini berambisi banget pengen jadi presiden... Saya khawatir jadinya yg akan terjadi jika Bapak ini benar2 memimpin.","1763803868658643132","","yaniarsim","in","","0","0","0","https://twitter.com/d3d1ms/status/1763803868658643132","1333313258040639488","d3d1ms"
"1743831749715726502","Fri Mar 01 17:00:34 +0000 2024","0","@PKSejahtera 10 thn PKS oposisi masa iya sekarang takut jadi oposisi ? Justru kalau PKS mau diajak masuk kabinet potensi dikriminalisasi lebih besar...apa kalian kira ikut dlm kabinet aman ? Saya ada isu kalau PKS sangat khawatir dgn Prabowo sehingga ada wacana koalisi ","1763610291479412801","","PKSejahtera","in","Lemahabang, Indonesia","0","0","0","https://twitter.com/MRuthab/status/1763610291479412801","1328565865894141954","MRuthab"
"1763472635533693362","Fri Mar 01 16:14:10 +0000 2024","1","@PartaiSocmed @prabowo @gibran_tweet Lebih baik makan gratis yang dinomor satukan ada alasan bagus buat hutang kembali karena defisit anggaran masyarakat pun pada paham karena sudah masuk perut.. Kalo khawatir defisit cb utakatik yang ada semoga bisa mengimbangi defisit anggaran program bagus hars dilaksanan","1763598614335762474","","PartaiSocmed","in","Kota Serang, Banten","0","0","0","https://twitter.com/lesmana_tubagus/status/1763598614335762474","1521493965002129409","lesmana_tubagus"
"1763472635533693362","Fri Mar 01 11:44:57 +0000 2024","0","@PartaiSocmed @prabowo @gibran_tweet KL internet gratis saya khawatir di salahgunakan ank2 untuk main game.yg dewasaan dikit buat nonton gituan.","1763530865240600935","","PartaiSocmed","in","Indonesia","0","0","0","https://twitter.com/KuliPocok/status/1763530865240600935","1668131011497201664","KuliPocok"
"1763418776895455306","Fri Mar 01 06:28:32 +0000 2024","0","@TaufikDamas Jangan khawatir om Prabowo Gibran tulus bekerja untuk rakyat kok.","1763451233673925001","","TaufikDamas","in","Indonesia","0","0","0","https://twitter.com/KuliPocok/status/1763451233673925001","1668131011497201664","KuliPocok"
"1763403070363652512","Fri Mar 01 03:17:09 +0000 2024","5","Terima kasih Pak @prabowo sudah selalu mengingat kami ... Ngerasa bgt bs berlindung kpd pemimpin kita. Ga prlu khawatir meski minoritas https://t.co/KuenYeLvbw","1763403070363652512","https://pbs.twimg.com/media/GHjdvWobMAAtsRh.jpg","","in","Bali, Indonesia","0","0","1","https://twitter.com/gektimbul/status/1763403070363652512","155249567","gektimbul"
"1763238041597141391","Thu Feb 29 16:34:52 +0000 2024","14","@dwioktariyadi Liat reply-nya koq ya ada saja yg berharap kejadian itu menimpa pak Prabowo. Koq ngga khawatir kalo doanya balik ke dia sendiri","1763241435414085971","","dwioktariyadi","in","Indonesia","0","3","1","https://twitter.com/RyaWiedy/status/1763241435414085971","419571979","RyaWiedy"
"1763015864192991513","Thu Feb 29 03:00:34 +0000 2024","0","@TIIndonesia Pelanggaran HAM apa yg anda maksud ? Atau apakah kalian sdng galau ? khawatir jika Prabowo menjadi Presiden kami ?","1763036510499061788","","TIIndonesia","in","Indonesia","0","0","0","https://twitter.com/shda_agatha_/status/1763036510499061788","966143130","shda_agatha_"
"1763019210207428614","Thu Feb 29 01:51:49 +0000 2024","1","Tiba-tiba si Bank paling Dunia ini khawatir ekonomi Indonesia akan buruk karena Pak Jokowi dan Pak Prabowo mau ngasih makan anak-anak sekolah. Kadrun juga. Dikasih infrastuktur bilang rakyat gak makan infrastuktur. Sekarang dikasih makan masih nolak juga. Emang babi sih mereka.","1763019210207428614","","","in","","0","0","0","https://twitter.com/xLanglangBuana/status/1763019210207428614","515259465","xLanglangBuana"
"1763015510965531122","Thu Feb 29 01:37:07 +0000 2024","0","Usia Diperiksa Prabowo Blak-blakan Kerap Khawatir saat Lakukan Tes Kesehatan - Kompas TV https://t.co/h9GPaN3s9m #IndonesiaKuatIndonesiaMaju #DiplomasiProgresif02 #02Melanjutkan","1763015510965531122","","","in","","0","0","6","https://twitter.com/AzzrielAzaryahu/status/1763015510965531122","797615281455525888","AzzrielAzaryahu"
"1762771790492028980","Wed Feb 28 15:06:34 +0000 2024","0","@MightyBoy151432 @DedynurPalakka @jokowi @prabowo @kaesangp Loh bukannya tempo dengan bocor alusnya kadang suka tebar hoax dan film dirty vote aja bisa tayang itu tandanya negara kita masih berdemokrasi dan orang2 seperti rocky gerung yg terus dapat panggung itu namanya demokrasi kalo sudah tidak ada baru anda khawatir dengan demokrasi","1762856826197205268","","MightyBoy151432","in","","0","2","0","https://twitter.com/ReeEzzZ25/status/1762856826197205268","220332058","ReeEzzZ25"
"1762507774267949198","Wed Feb 28 11:03:11 +0000 2024","0","@MalmsteenEndye @H4T14K4LN4L42 @jokowi @prabowo meme yg dibuat kelompok yg khawatir RI makin kuat","1762795579422412878","","MalmsteenEndye","in","","0","1","0","https://twitter.com/WhiteX94194/status/1762795579422412878","1742544768683376640","WhiteX94194"
"1762793517007438111","Wed Feb 28 10:59:27 +0000 2024","0","@detikcom @detik_edu Jangan khawatir wahai pendukung Prabowo ada makan gratis. ","1762794640007446577","","detikcom","in","","0","0","0","https://twitter.com/FaharuddinIbra1/status/1762794640007446577","1535231097029947392","FaharuddinIbra1"
"1762776013447274869","Wed Feb 28 09:52:38 +0000 2024","4","@islah_bahrawi Khawatir jika suatu saat ada jalan protokol dg nama Jl. Jendral H Prabowo Subianto di jakarta. Pang ngeri kalii ","1762777821213327853","","islah_bahrawi","in","","0","0","0","https://twitter.com/Rakeyansunda/status/1762777821213327853","1449979966775447554","Rakeyansunda"
"1762143708412317846","Wed Feb 28 09:26:04 +0000 2024","1","@Ronnie_Rusli @prabowo Tidak usah khawatir prof.. tinggal cek aja prof kalo prabowo yg danai sendiri mk aman itu tp kalo didanai pihak lain ya maklum aja hrs bagi jatah kursi apalagi yg bantu kecurangan pasti minta jatah. Makanya menurut saya Indonesia perlu perubahan.","1762771137195540701","","Ronnie_Rusli","in","","0","0","0","https://twitter.com/AHT1970/status/1762771137195540701","831832211540226048","AHT1970"
"1762671892811718960","Wed Feb 28 04:51:26 +0000 2024","0","@NarasiNewsroom Khawatir nanti kejadian lengsernya Gus Dur terulang dengan lengsernya Prabowo dan naikknya Gibran jadi Presiden. Jokowi besar bersama partainya Megawati ada kemungkinan kan dia pakai cara yang sama","1762702023718535652","","NarasiNewsroom","in","earth 🌎 ","0","0","0","https://twitter.com/bandhar_/status/1762702023718535652","1503193158661787651","bandhar_"
"1762475819711213883","Wed Feb 28 03:49:51 +0000 2024","0","@TirtoID Kenapa banyak pihak yang khawatir dengan kepemimpinan prabowo kedepan ? Masih ingat semua pihak baik lokal dan using dahulu meng elu-elu kan jokowi. Akan bisa bawa Indonesia lebih baik dan dollar bisa di bawah 10 ribu. Hasilnya ?","1762686523944940012","","TirtoID","in","","0","0","0","https://twitter.com/wkurniawan609/status/1762686523944940012","2659188162","wkurniawan609"
"1762497392434454642","Wed Feb 28 03:48:06 +0000 2024","0","@lysavana1 Kenapa banyak pihak yang khawatir dengan Indonesia ketika prabowo menang? Dan ingat 2014 semua pihak meng elu-elu kan jokowi. Bahkan dollar bisa di bawah 10 ribu. Buktinya?","1762686083555549222","","lysavana1","in","","0","0","0","https://twitter.com/wkurniawan609/status/1762686083555549222","2659188162","wkurniawan609"
